year,total_budget,education_budget,duration_of_strike
1992,52036021610,2008340430,3 months
1993,114600529300,6436080750,4 months
1996,188221068083,12135951790,6 months
1999,419500000000,27712000000,5 months 
2001,894214805186,62567055443,3 months 
2002,1064801253520,73435499300,2 weeks 
2003,765100000000,13900000000,6 months 
2005,1846000000000,92000000000,3 days 
2006,1900000000000,92000000000,3 days 
2007,2300000000000,186000000000,3 months 
2008,2740000000000,356200000000,1 week 
2009,3049000000000,221019000000,4 months 
2010,5160000000000,249009000000,"5 months, 14days"
2011,4972000000000,306003000000,3 months 
2013,4987000000000,426053000000,5 months 9days
2017,7444000000000,550000000000,3 weeks 
2018,8612000000000,605008000000,2 Months 3days
2020,10810800872072,607664880997,9 months
2022,16391023917692,705275929291,Indefinite/Ongoing
