year,total_budget,education_budget
1988,24365232328,584130070
1989,30107057130,1067179030
1990,39763988960,1126664140
1991,38665978779,419906180
1992,52036021610,2008340430
1993,114600529300,6436080750
1994,110500000000,7878084920
1995,155500000000,12728676390
1996,188221068083,12135951790
1997,400400000000,16440162819
1998,260000000000,26721320906
1999,419500000000,27712000000
2000,677511714733,56668169766
2001,894214805186,62567055443
2002,1064801253520,73435499300
2003,765100000000,13900000000
2004,1849400000000,93770000000
2005,1846000000000,92000000000
2006,1900000000000,92000000000
2007,2300000000000,186000000000
2008,2740000000000,356200000000
2009,3049000000000,221019000000
2010,5160000000000,249009000000
2011,4972000000000,306003000000
2012,4877000000000,400015000000
2013,4987000000000,426053000000
2014,4962000000000,493000000000
2015,5068000000000,392002000000
2016,6061000000000,396006000000
2017,7444000000000,550000000000
2018,8612000000000,605008000000
2019,8916964099393,634557159877
2020,10810800872072,607664880997
2021,13588027886175,771461372053
2022,16391023917692,705275929291
